title,Education,Race,gender,totalyearlycompensation
Mechanical Engineer,Bachelor's Degree,Asian,Male,5000
Mechanical Engineer,Bachelor's Degree,Asian,Male,5000
Mechanical Engineer,Bachelor's Degree,Asian,Female,180000
Data Scientist,Bachelor's Degree,Asian,Female,180000
Software Engineer,Bachelor's Degree,Asian,Male,10000
Software Engineer,Bachelor's Degree,Asian,Male,10000
Sales,Master's Degree,Asian,Male,10000
Software Engineer,Master's Degree,Asian,Male,10000
Software Engineer,Bachelor's Degree,Asian,Male,10000
Software Engineer,Bachelor's Degree,Asian,Male,10000
Software Engineer,Bachelor's Degree,Asian,Male,10000
Software Engineer,Bachelor's Degree,Asian,Female,10000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Business Analyst,Master's Degree,Asian,Male,11000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Software Engineer,Master's Degree,Asian,Male,11000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Software Engineer,Bachelor's Degree,Asian,Female,11000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Software Engineer,Bachelor's Degree,Asian,Male,11000
Human Resources,Master's Degree,Asian,Female,11000
Product Designer,Bachelor's Degree,Asian,Male,13000
Software Engineer,Bachelor's Degree,Asian,Male,13000
Software Engineering Manager,Bachelor's Degree,Asian,Male,13000
Software Engineering Manager,Master's Degree,White,Female,1605000
Software Engineering Manager,Bachelor's Degree,White,Male,1733000
Software Engineering Manager,Master's Degree,Black,Male,2372000
Product Manager,Master's Degree,Asian,Male,4500000
Product Manager,Master's Degree,Asian,Male,4980000